Eq ID,Formulation,Source / Context,Verification Status,Simulation IDs Affected,Environment / Material Tags
EQ‑001,"T = f(\\rho_{\\text{m}}, \\rho_{\\text{E}}, \\sigma, \\theta, \\Phi, \\mathbf{B}, \\mathbf{E})",Collapse corridor transmissivity definition,Theoretical (coalition‑native),"SIM‑CC‑01, SIM‑CC‑02","Mass density, energy density, cross‑section, phase, EM fields"
EQ‑002,"\\frac{\\partial T}{\\partial t} \\to 0 \\quad \\text{as} \\quad T \\to T_{\\max}",Saturation condition,Observational (seismic resonance analog),SIM‑SAT‑01,"Corridor saturation, time derivative"
EQ‑003,"\\(\\","\\nabla T\\","> \\Gamma_{\\text{breach}}\\)",Breach gradient criterion,"Theoretical, pending validation",SIM‑BF‑01,"Breach fields, transmissivity gradient"
EQ‑004,"\\alpha \\cdot T \\approx \\kappa(\\text{material}, \\text{phase})",Attenuation–transmissivity relation,Experimental (accelerator overlays),SIM‑AT‑01,"Attenuation coefficient, material/phase"
EQ‑005,"S = \\frac{E_{\\text{meas}}}{E_{\\text{ref}}}",Suppression window,Observational (lab datasets),SIM‑SUP‑01,"Corridor alignment, measured vs reference energy"
EQ‑006,"\\frac{dS}{dt} > \\Lambda_{\\text{rec}}",Recovery gate,Observational (plasma transparency),SIM‑REC‑01,"Recovery rate, post‑phase transition"
EQ‑007,"R_{\\gamma} = \\int_{\\mathcal{C}} w(s)\\,\\chi_{\\text{corridor}}(s)\\,ds",Photon imprint retention metric,"Theoretical, candidate",SIM‑PH‑01,"Photon imprint, corridor path"
EQ‑008,"\\mathcal{P}_{\\gamma} = \\int (\\mathbf{E} \\times \\mathbf{B}) \\cdot d\\ell",Field‑guided photon path,Observational (telescope datasets),SIM‑PH‑02,"Photon path, EM fields"
EQ‑009,"\\frac{dt_{\\text{obs}}}{dt_{\\text{ref}}} \\approx 1",Constant‑time framework,"Theoretical, coalition‑native",SIM‑CT‑01,"Time invariance, observer vs reference clocks"
EQ‑010,"L_{\\text{meas}} \\approx L_{\\text{ref}}",Length stability,"Theoretical, coalition‑native",SIM‑CT‑02,"Corridor strain, length invariance"
EQ‑011,"\\mathbf{V} = [\\Delta E, \\Delta q, \\Delta s, \\Delta \\mathbf{p}, \\Delta B, \\Delta L] \\stackrel{!}{=} \\mathbf{0}",Conservation verdict vector,Experimental (accelerator sweeps),SIM‑CONS‑01,"Energy, charge, spin, momentum, baryon/lepton number"
EQ‑012,"\\mathcal{D}_i : P_i(\\text{env}) = g(\\mathbf{B}, \\mathbf{E}, \\rho_{\\text{m}}, T, \\alpha)",Decay channel tagging,Observational (particle datasets),SIM‑DEC‑01,"Particle decay probability, environment conditioning"
EQ‑013,"\\Omega_{\\text{eff}} = \\Omega_0 \\cdot (1 + \\beta T + \\gamma \\alpha)",Spin scaling overlay,Observational (black hole accretion),SIM‑SPIN‑01,"Spin scaling, transmissivity, attenuation"
EQ‑014,"\\left\\langle \\frac{dE}{dx} \\right\\rangle_{\\text{coalition}} = \\mathcal{B}(\\beta, \\gamma, Z, A, T, \\alpha)",Coalition Bethe‑like form,Experimental (accelerator overlays),SIM‑LOSS‑01,"Muons, electrons, protons; atmospheric overlays"
EQ‑015,"\\Delta_{\\mu,e,p} = \\left\\langle \\frac{dE}{dx} \\right\\rangle_{\\mu} - \\left\\langle \\frac{dE}{dx} \\right\\rangle_{e,p}",Muon vs electron vs proton comparison,Observational (atmosphere datasets),SIM‑LOSS‑02,"Comparative sweep, atmospheric conditions"
