Sim ID,Accuracy %,Δ Accuracy %,Equation sets used,Anchor type,Confirmation tag,Provenance,Notes
SIMX-051,99,0.2,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Mid-series EOS transition; drift fully suppressed
SIMX-052,99.1,0.1,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Polar EOS crest aligned
SIMX-053,99,-0.1,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Equatorial EOS belt stable
SIMX-054,99.2,0.2,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Anisotropy within EOS corridor tolerance
SIMX-055,99.3,0.1,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Horizon-adjacent EOS symmetry preserved
SIMX-056,99.1,-0.2,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Charge-side EOS crest; no GR fitting
SIMX-057,99.2,0.1,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Velocity–EOS coupling mild and controlled
SIMX-058,99.3,0.1,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Suppression gradient traced to EOS only
SIMX-059,99.2,-0.1,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,EOS crossings stable; Δp within corridor bounds
SIMX-060,99.4,0.2,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Emission proxies consistent with EOS-X/BX
SIMX-061,99.3,-0.1,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Extended EOS corridor; no collapse-native operators
SIMX-062,99.4,0.1,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Velocity–pressure alignment via EOS only
SIMX-063,99.3,-0.1,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Drift mapping confirms EOS-X/BX dominance
SIMX-064,99.5,0.2,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,"Speed suppression sourced in EOS, not collapse-native"
SIMX-065,99.4,-0.1,"EOS-X, BX, Δρ/ΔT, Δp",EOS-X / BX corridor,✅,Coalition v1.4,Emission footprint coherent with EOS corridor
