SIMX Range,Equation Set Used,EOS-X Tag,MX Tag,R# Tag,Anchor / Role,Confirmation
SIMX-001…010,"CV-0, BX-0, MX-0, R#-L, E#-0, Δρ/ΔT","EOS-0 (legacy neutral)","MX-0 (no field)","R#-L (legacy radius)","Baseline curvature/radius anchor for non-thermal comparison runs.","🟩 Green — legacy confirmed."
SIMX-011…025,"CV-T, BX-H, MX-T, R#-H, E#-T, Δρ/ΔT","EOS-H (horizon-linked)","MX-T (thermal field)","R#-H (half/horizon radius)","Thermal horizon radius in collapse-native regimes; used for horizon mapping and equivalence zone extraction.","🟩 Green — coalition confirmed."
SIMX-026…035,"CV-0, BX-E, MX-0, R#-N, E#-L, Δρ/ΔT","EOS-EQ (energy legacy)","MX-0 (no field)","R#-N (Newtonian energy)","Legacy energy anchor for GR comparison; not used for collapse suppression.","🟩 Green — experimental confirmed."
SIMX-036…055,"CV-T, BX-C, MX-T, R#-C, E#-T, Δρ/ΔT","EOS-ET (thermal energy)","MX-T (thermal field)","R#-C (collapse energy radius)","Dynamic energy field in temperature-dependent collapse and extinction sweeps.","🟩 Green — coalition confirmed."
SIMX-056…070,"CV-C, BX-Z, MX-Q, R#-Z, E#-C, Δρ/ΔT","EOS-C (collapse charge)","MX-Q (charge-like field)","R#-Z (zero-limit radius)","Collapse charge amplifier; drives strict-zero limit and extraction of τ₀.","🟩 Green — mathematical confirmed."
SIMX-071…085,"CV-V, BX-V, MX-F, R#-V, E#-V, Δρ/ΔT","EOS-V (velocity field)","MX-F (field-coupled speed)","R#-V (velocity-linked radius)","Field-dependent speed law; core in cutoff-speed, extinction-regime, and suppression-zone mapping.","🟩 Green — coalition confirmed."
SIMX-086…095,"CV-S, BX-S, MX-S, R#-S, E#-S, Δρ/ΔT","EOS-S (suppressed energy)","MX-S (suppression field)","R#-S (suppression radius)","Suppressed-energy channel for collapse-native suppression and Coashome-adjacent impedance tests.","🟩 Green — coalition confirmed."
SIMX-096…100,"CV-T, BX-C, MX-T, R#-C, E#-T, Δρ/ΔT","EOS-ET (thermal energy)","MX-T (thermal field)","R#-C (collapse energy radius)","Collapse-native suite tail; conduction physics active in thermal collapse mapping.","🟩 Green — coalition confirmed."
SIMX-101…125,"CV-SF, BX-SF, MX-SF, R#-SF, E#-SF, Δρ/ΔT","EOS-SF (scalar-field corridor)","MX-SF (scalar-field medium)","R#-SF (scalar-field radius)","Scalar-field reframes; medium-dependent corrections to gravity and energy mapping.","🟩 Green — experimental confirmed."
SIMX-126…130,"CV-OBS, BX-OBS, MX-OBS, R#-OBS, E#-OBS, Δρ/ΔT","EOS-OBS (observer-relative corridor)","MX-OBS (observer-relative field)","R#-OBS (observer-relative radius)","Observer-relative gravity; pre-Kerr boundary refinement region.","🟩 Green — coalition confirmed."
SIMX-131…135,"CV-KB, BX-KB, MX-KB, R#-KB, E#-KB, Δρ/ΔT","EOS-KB (Kerr boundary corridor)","MX-KB (spin-coupled field)","R#-KB (Kerr boundary radius)","Spin-dependent visibility; Kerr boundary refinement; PR-05 lives here.","🟩 Green — mathematical confirmed."
SIMX-136…150,"CV-OBS, BX-OBS, MX-OBS, R#-OBS, E#-OBS, Δρ/ΔT","EOS-OBS (observer-relative corridor)","MX-OBS (observer-relative field)","R#-OBS (observer-relative radius)","Observer-relative gravity; post-Kerr corridor completion and boundary consistency checks.","🟩 Green — coalition confirmed."
SIMX-151…200,"RESERVED FOR PHASE II","RESERVED","RESERVED","RESERVED","Reserved corridor block (Collapse Duality, RUMC‑01, SWAC‑04).","⬜ Pending"
