Sim ID,A_beam (km),Core density ρₐ,Core temp Tₐ,Core pressure Pₐ,Plasma velocity scale,Core B field,Collapse/EOS phase,Notes
SIMX-001,9.2,7.0×10¹⁴,6.0×10¹¹,1.5×10³⁴,0.30c,5.0×10¹⁶,C-BH-1,Stable BBH interior
SIMX-002,9.2,7.5×10¹⁴,6.5×10¹¹,1.7×10³⁴,0.35c,7.0×10¹⁶,C-BH-2,Spin–orbit shear
SIMX-003,9.2,6.8×10¹⁴,5.8×10¹¹,1.4×10³⁴,0.28c,4.5×10¹⁶,C-BH-1,Ringsdown interior stable
SIMX-004,9.1,8.0×10¹⁴,7.0×10¹¹,1.9×10³⁴,0.38c,8.0×10¹⁶,C-BH-3,High‑pressure BH interior
SIMX-005,9.1,7.6×10¹⁴,6.3×10¹¹,1.8×10³⁴,0.32c,7.3×10¹⁶,C-BH-2,Continuity through collapse
SIMX-006,12.2,3.0×10¹⁴,1.0×10⁸,3.0×10³³,0.20c,1.0×10¹⁵,C-NS-1,Density drift suppressed
SIMX-007,11.9,3.1×10¹⁴,1.1×10⁸,3.1×10³³,0.21c,1.1×10¹⁵,C-NS-1,Thermal gradient stabilized
SIMX-008,12.0,3.2×10¹⁴,1.1×10⁸,3.2×10³³,0.21c,1.1×10¹⁵,C-NS-1,Pressure drift eliminated
SIMX-009,12.1,3.3×10¹⁴,1.2×10⁸,3.3×10³³,0.22c,1.2×10¹⁵,C-NS-1,EOS crossings suppressed
SIMX-010,12.1,3.4×10¹⁴,1.2×10⁸,3.4×10³³,0.22c,1.2×10¹⁵,C-NS-1,Emission proxies stabilized
SIMX-011,12.3,3.5×10¹⁴,1.3×10⁸,3.5×10³³,0.23c,1.3×10¹⁵,C-NS-2,Outer density corridor stable
SIMX-012,12.2,3.6×10¹⁴,1.3×10⁸,3.6×10³³,0.23c,1.3×10¹⁵,C-NS-2,Thermal‑phase aligned
SIMX-013,12.3,3.7×10¹⁴,1.4×10⁸,3.7×10³³,0.24c,1.4×10¹⁵,C-NS-2,Pressure drift removed
SIMX-014,12.3,3.8×10¹⁴,1.4×10⁸,3.8×10³³,0.24c,1.4×10¹⁵,C-NS-2,EOS crossings stable
SIMX-015,12.3,3.9×10¹⁴,1.5×10⁸,3.9×10³³,0.25c,1.5×10¹⁵,C-NS-2,Emission‑phase stable
SIMX-016,12.4,4.0×10¹⁴,1.5×10⁸,4.0×10³³,0.25c,1.5×10¹⁵,C-NS-3,Density‑phase stabilization
SIMX-017,12.4,4.1×10¹⁴,1.6×10⁸,4.1×10³³,0.26c,1.6×10¹⁵,C-NS-3,Thermal‑phase alignment
SIMX-018,12.4,4.2×10¹⁴,1.6×10⁸,4.2×10³³,0.26c,1.6×10¹⁵,C-NS-3,Pressure drift eliminated
SIMX-019,12.4,4.3×10¹⁴,1.7×10⁸,4.3×10³³,0.27c,1.7×10¹⁵,C-NS-3,EOS crossings stabilized
SIMX-020,12.4,4.4×10¹⁴,1.7×10⁸,4.4×10³³,0.27c,1.7×10¹⁵,C-NS-3,Emission‑phase stabilization
SIMX-021,12.5,4.5×10¹⁴,1.8×10⁸,4.5×10³³,0.28c,1.8×10¹⁵,C-NS-4,Outer corridor density stable
SIMX-022,12.5,4.6×10¹⁴,1.8×10⁸,4.6×10³³,0.28c,1.8×10¹⁵,C-NS-4,Thermal crest aligned
SIMX-023,12.5,4.7×10¹⁴,1.9×10⁸,4.7×10³³,0.29c,1.9×10¹⁵,C-NS-4,Pressure drift removed
SIMX-024,12.5,4.8×10¹⁴,1.9×10⁸,4.8×10³³,0.29c,1.9×10¹⁵,C-NS-4,EOS crossings stable
SIMX-025,12.5,4.9×10¹⁴,2.0×10⁸,4.9×10³³,0.30c,2.0×10¹⁵,C-NS-4,Emission footprint stable
SIMX-026,12.6,5.0×10¹⁴,2.0×10⁸,5.0×10³³,0.30c,2.0×10¹⁵,C-LEG-1,Legacy density corridor matched
SIMX-027,12.6,5.1×10¹⁴,2.1×10⁸,5.1×10³³,0.31c,2.1×10¹⁵,C-LEG-1,Legacy pressure–energy aligned
SIMX-028,12.6,5.2×10¹⁴,2.1×10⁸,5.2×10³³,0.31c,2.1×10¹⁵,C-LEG-1,Legacy drift mapped
SIMX-029,12.6,5.3×10¹⁴,2.2×10⁸,5.3×10³³,0.32c,2.2×10¹⁵,C-LEG-1,Legacy–coalition crossover stable
SIMX-030,12.6,5.4×10¹⁴,2.2×10⁸,5.4×10³³,0.32c,2.2×10¹⁵,C-LEG-1,Legacy observer‑frame continuity
SIMX-031,12.7,5.5×10¹⁴,2.3×10⁸,5.5×10³³,0.33c,2.3×10¹⁵,C-TH-1,Thermal sweep baseline
SIMX-032,12.7,5.6×10¹⁴,2.3×10⁸,5.6×10³³,0.33c,2.3×10¹⁵,C-TH-1,Δρ/ΔT alignment
SIMX-033,12.7,5.7×10¹⁴,2.4×10⁸,5.7×10³³,0.34c,2.4×10¹⁵,C-TH-1,Pressure response mapped
SIMX-034,12.7,5.8×10¹⁴,2.4×10⁸,5.8×10³³,0.34c,2.4×10¹⁵,C-TH-1,Horizon‑adjacent thermal phase stable
SIMX-035,12.7,5.9×10¹⁴,2.5×10⁸,5.9×10³³,0.35c,2.5×10¹⁵,C-TH-1,Emission behavior stable
SIMX-036,12.8,6.0×10¹⁴,2.5×10⁸,6.0×10³³,0.35c,2.5×10¹⁵,C-CC-1,Charge corridor baseline
SIMX-037,12.8,6.1×10¹⁴,2.6×10⁸,6.1×10³³,0.36c,2.6×10¹⁵,C-CC-1,Charge–density aligned
SIMX-038,12.8,6.2×10¹⁴,2.6×10⁸,6.2×10³³,0.36c,2.6×10¹⁵,C-CC-1,Pressure drift removed
SIMX-039,12.8,6.3×10¹⁴,2.7×10⁸,6.3×10³³,0.37c,2.7×10¹⁵,C-CC-1,EOS crossings stable
SIMX-040,12.8,6.4×10¹⁴,2.7×10⁸,6.4×10³³,0.37c,2.7×10¹⁵,C-CC-1,Emission proxies stable
SIMX-041,12.9,6.5×10¹⁴,2.8×10⁸,6.5×10³³,0.38c,2.8×10¹⁵,C-VEL-1,Velocity corridor baseline
SIMX-042,12.9,6.6×10¹⁴,2.8×10⁸,6.6×10³³,0.38c,2.8×10¹⁵,C-VEL-1,Velocity–pressure aligned
SIMX-043,12.9,6.7×10¹⁴,2.9×10⁸,6.7×10³³,0.39c,2.9×10¹⁵,C-VEL-1,Velocity drift mapped
SIMX-044,12.9,6.8×10¹⁴,2.9×10⁸,6.8×10³³,0.39c,2.9×10¹⁵,C-VEL-1,Speed suppression stable
