Equation_ID,LaTeX_Formulation,Technical_Name,Operational_Context_Description,Primary_Simulation_Reference
EQ-001,"T = f(\rho_{m}, \rho_{E}, \sigma, \theta, \Phi, \mathbf{B}, \mathbf{E})",Transmissivity Framework Function,Corridor definition evaluating localized field environments,SIM-CORE
EQ-002,\frac{\partial T}{\partial t} \to 0,Transmissivity Saturation Condition,Indicates static boundary state stabilization,SIM-CORE
EQ-003,\nabla T > \Gamma_{text{breach}},Transmissivity Spatial Gradient Breach Threshold,Defines boundary breakdown point where containment slips,SIM-CORE
EQ-004,\alpha \cdot T \approx \kappa,Permeability-Transmissivity Scaling Constant Matrix,Couples medium conductivity directly to local transport profiles,SIM-CORE
EQ-005,S = \frac{E_{meas}}{E_{ref}},Saturation Ratio Formulation,Normalizes local measured energy field against reference vacuum states,SIM-CORE
EQ-006,\frac{dS}{dt} > \Lambda_{rec},Recovery Gate Threshold Condition,Dictates the timeline rate needed for system recovery to baseline,SIM-CORE
EQ-011,"R_{\gamma} = \int_{\mathcal{C}} w(s)\,\chi_{text{corridor}}(s)\,ds",Integrated Corridor Path Resistance,Calculates net optical/field attenuation along a line element s,SIM-PLASMA-01
EQ-012,\mathcal{P}_{\gamma} = \int (\mathbf{E} \times \mathbf{B}) \cdot d\ell,Net Boundary Poynting Flux Projection,Evaluates electromagnetic power flow intersecting containment edges,SIM-PLASMA-01
EQ-013,\frac{dt_{obs}}{dt_{ref}} \approx 1,Local Coordinate Clock Synchronization Factor,Enforces non-dilated baseline clock frames in flat reference space,SIM-PLASMA-01
EQ-014,L_{meas} \approx L_{ref},Spatial Metric Longitudinal Length Matching,Ensures length consistency before severe localized metric squeezing,SIM-PLASMA-01
EQ-015,"\mathbf{V} = [\Delta E, \Delta q, \Delta s, \Delta \mathbf{p}, \Delta B, \Delta L]",6D Phase Multi-Vector Tracking Array,Monitors instantaneous updates across primary thermodynamic variables,SIM-PLASMA-02
EQ-016,"\mathcal{D}_i : P_i(text{env}) = g(\mathbf{B}, \mathbf{E}, \rho_{m}, T, \alpha)",Environmental State Distribution Matrix,Determines localized cell probability based on surrounding fluid matrix,SIM-PLASMA-02
EQ-017,\Omega_{eff} = \Omega_0 \cdot (1 + \beta T + \gamma \alpha),Effective Rotation Modulus Adjustment,Alters angular momentum transport inside extreme conducting mediums,SIM-PLASMA-02
